game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,home_win,home_completions_ewma,home_passing_yards_ewma,home_passing_tds_ewma,home_rushing_yards_ewma,home_sacks_suffered_ewma,home_rushing_tds_ewma,home_completion_pct_ewma,home_turnovers_offense_ewma,home_turnovers_defense_ewma,home_turnover_margin_ewma,home_def_tackles_for_loss_ewma,home_penalty_yards_ewma,home_fg_pct_ewma,home_pat_pct_ewma,away_completions_ewma,away_passing_yards_ewma,away_passing_tds_ewma,away_rushing_yards_ewma,away_sacks_suffered_ewma,away_rushing_tds_ewma,away_completion_pct_ewma,away_turnovers_offense_ewma,away_turnovers_defense_ewma,away_turnover_margin_ewma,away_def_tackles_for_loss_ewma,away_penalty_yards_ewma,away_fg_pct_ewma,away_pat_pct_ewma
2021_02_NYG_WAS,2021,REG,2,2021-09-16,NYG,29.0,WAS,30.0,1,22.0,215.4,1.4,110.4,1.0,0.4,0.6956521739130435,1.0,0.6,-0.4,5.2,66.2,0.85,1.0,22.0,259.8,1.0,101.2,2.8,1.0,0.6317567567567568,0.6,0.4,-0.19999999999999996,2.8,61.199999999999996,1.0,1.0
2021_02_NO_CAR,2021,REG,2,2021-09-19,NO,7.0,CAR,26.0,1,24.8,289.4,1.4,102.2,1.4,1.0,0.6851127819548872,1.0,1.4,0.4,4.8,42.4,0.8666666666666667,0.5666666666666667,13.4,135.0,3.0,121.8,1.6,0.4,0.6285714285714286,0.8,1.6,0.7999999999999999,4.0,67.6,1.0,1.0
2021_02_CIN_CHI,2021,REG,2,2021-09-19,CIN,17.0,CHI,20.0,1,23.4,176.0,0.4,129.6,3.0,1.2,0.6849999999999999,1.6,1.2000000000000002,-0.3999999999999999,2.4000000000000004,49.0,1.0,1.0,19.6,239.4,2.0,117.0,5.0,0.6,0.6977777777777777,1.6,0.4,-1.2000000000000002,5.4,31.8,1.0,1.0
2021_02_HOU_CLE,2021,REG,2,2021-09-19,HOU,21.0,CLE,31.0,1,20.2,277.8,0.4,154.2,2.0,3.6,0.8119047619047619,2.0,0.8,-1.2,5.4,42.8,1.0,1.0,19.8,265.4,2.0,128.8,1.0,1.6,0.6300940438871473,0.4,2.6,2.2,3.2,61.2,0.6,1.0
2021_02_LA_IND,2021,REG,2,2021-09-19,LA,27.0,IND,24.0,0,23.8,259.40000000000003,1.6,111.4,3.0,0.0,0.6391812865497076,1.4,0.4,-1.0,3.2,19.6,1.0,1.0,19.6,303.8,2.6,84.8,1.0,1.0,0.7148717948717949,0.8,1.4,0.6,3.2,27.599999999999998,1.0,1.0
2021_02_DEN_JAX,2021,REG,2,2021-09-19,DEN,23.0,JAX,13.0,0,22.4,246.4,2.2,75.6,1.0,0.0,0.4991087344028521,2.6,0.0,-2.6,2.8,77.2,0.0,1.0,27.2,289.6,2.0,137.4,2.4000000000000004,0.6,0.7725490196078432,0.6,0.8,0.20000000000000007,4.2,71.0,1.0,1.0
2021_02_BUF_MIA,2021,REG,2,2021-09-19,BUF,35.0,MIA,0.0,0,19.6,194.0,0.6,72.8,3.6000000000000005,0.6,0.5828282828282828,1.4,1.2000000000000002,-0.19999999999999996,1.2,50.0,1.0,1.0,24.8,233.6,1.4,127.4,2.2,1.2000000000000002,0.5590017825311943,1.4,0.4,-1.0,5.6,69.8,0.6,1.0
2021_02_NE_NYJ,2021,REG,2,2021-09-19,NE,25.0,NYJ,6.0,0,19.6,238.79999999999998,1.2,87.8,5.2,0.0,0.5546273546273547,2.2,0.0,-2.2,6.0,48.8,0.6666666666666666,0.0,26.2,243.0,0.6,115.4,1.8000000000000003,0.8,0.7394871794871795,1.2,2.2,1.0,4.800000000000001,72.0,1.0,0.8
2021_02_SF_PHI,2021,REG,2,2021-09-19,SF,17.0,PHI,11.0,0,21.0,234.4,1.7999999999999998,164.2,1.4,1.0,0.6628571428571429,0.0,0.0,0.0,4.4,76.2,0.8,1.0,19.6,267.0,1.6,125.4,0.6,1.6,0.7087179487179487,1.2,0.6,-0.6,6.8,71.39999999999999,0.7999999999999999,1.0
2021_02_LV_PIT,2021,REG,2,2021-09-19,LV,26.0,PIT,17.0,0,21.6,230.79999999999998,1.0,60.6,2.0,0.4,0.6075,0.4,0.0,-0.4,4.6,36.4,1.0,1.0,31.6,413.8,2.0,70.0,2.6,1.2,0.6669884169884169,0.6,0.4,-0.19999999999999996,3.2,53.199999999999996,1.0,1.0
